"Curried Cabbage","https://www.budgetbytes.com/curried-cabbage/","https://www.budgetbytes.com/wp-content/uploads/2019/12/Curried-Cabbage-finished-347x260.jpg","garlic","grated fresh ginger","yellow onion","carrots (about 1/2 lb.)","cabbage (about 4 cups sliced)","olive oil","curry powder (mild or hot)","frozen peas","butter","salt and pepper to taste","cilantro"
"Garlic Butter Baked Chicken Thighs","https://www.budgetbytes.com/garlic-butter-baked-chicken-thighs/","https://www.budgetbytes.com/wp-content/uploads/2019/12/Garlic-Butter-Baked-Chicken-Thighs-scoop-347x260.jpg","butter","garlic, minced","paprika","salt","freshly cracked pepper","fresh lemon","chopped fresh parsley (optional)","boneless, skinless chicken thighs (about 1.25 lbs.)"
"Country Breakfast Bowls","https://www.budgetbytes.com/country-breakfast-bowls-freezable/","https://www.budgetbytes.com/wp-content/uploads/2013/06/Add-salsa-to-meal-prep-containers-347x260.jpg","russet potatoes","olive oil","smoked paprika","garlic powder","salt","Freshly cracked black pepper","large eggs","butter","salsa","shredded cheddar cheese"
"Smoky Black Bean Soup","https://www.budgetbytes.com/smoky-black-bean-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/11/Smoky-Black-Bean-Soup-two-bowls-toppings-347x260.jpg","yellow onion","garlic","jalapeño (optional)","olive oil","black beans","fire roasted diced tomatoes","ground cumin","dried oregano","smoked paprika or chipotle powder*","salt to taste"
"Roasted Apple Cranberry Cornbread Stuffing","https://www.budgetbytes.com/roasted-apple-cranberry-cornbread-stuffing/","https://www.budgetbytes.com/wp-content/uploads/2019/11/Roasted-Apple-Cranberry-Cornbread-Stuffing-H-347x260.jpg","fresh cranberries","apples*","Baker's Corner Brown Sugar","salt","Countryside Creamery Salted Butter","yellow onion","celery","water","Chef's Cupboard Cornbread Stuffing Mix","Southern Grove Pecan Halves"
"Mushroom and Spinach Pasta with Ricotta","https://www.budgetbytes.com/mushroom-and-spinach-pasta-with-ricotta/","https://www.budgetbytes.com/wp-content/uploads/2019/11/Mushroom-and-Spinach-Pasta-with-Ricotta-close-plate-347x260.jpg","bowtie pasta","baby bella mushrooms","olive oil","butter","garlic","fresh spinach","salt and pepper to taste","whole milk ricotta","crushed red pepper (optional)"
"Garlic Noodles with Beef and Broccoli","https://www.budgetbytes.com/garlic-noodles-with-beef-and-broccoli/","https://www.budgetbytes.com/wp-content/uploads/2019/11/Garlic-Noodles-with-Beef-and-Broccoli-close-fork-twirl-347x260.jpg","oyster sauce","butter, divided","soy sauce","brown sugar","toasted sesame oil*","ground beef","garlic","frozen broccoli florets","spaghetti","green onions","crushed red pepper flakes"
"How to Make Homemade Whipped Cream","https://www.budgetbytes.com/how-to-make-homemade-whipped-cream/","https://www.budgetbytes.com/wp-content/uploads/2019/11/Homemade-Whipped-Cream-on-cocoa-front-347x260.jpg","granulated sugar","vanilla extract","cold heavy cream or heavy whipping cream"
"Creamy Vegetable Wild Rice Soup (Vegan)","https://www.budgetbytes.com/creamy-vegetable-wild-rice-soup-vegan/","https://www.budgetbytes.com/wp-content/uploads/2019/11/Creamy-Vegetable-Wild-Rice-Soup-above-347x260.jpg","baby bella mushrooms","olive oil","garlic","yellow onion","celery","carrots","dried thyme","dried sage","wild rice blend (uncooked)","vegetable broth","full-fat coconut milk"
"How to Make an Easy Thanksgiving Dinner for Beginners","https://www.budgetbytes.com/how-to-make-an-easy-thanksgiving-dinner-for-beginners/","https://www.budgetbytes.com/wp-content/uploads/2019/11/Thanksgiving-Table-from-side-347x260.jpg"
"Maple Roasted Sweet Potatoes with Pecans","https://www.budgetbytes.com/maple-roasted-sweet-potatoes-with-pecans/","https://www.budgetbytes.com/wp-content/uploads/2011/11/Maple-Roasted-Sweet-Potatoes-with-Pecans-H-347x260.jpg","sweet potatoes","butter","brown sugar","maple syrup","cinnamon","ground cloves","salt","pecans"
"Chipotle Butternut Squash and Quinoa Salad","https://www.budgetbytes.com/chipotle-butternut-squash-and-quinoa-salad/","https://www.budgetbytes.com/wp-content/uploads/2019/11/Chipotle-Butternut-Squash-and-Quinoa-Salad-above-347x260.jpg","quinoa","butternut squash (about 4 cups diced)","cooking oil","salt","frozen corn","black beans"
"Apple Walnut Stuffing","https://www.budgetbytes.com/apple-walnut-stuffing/","https://www.budgetbytes.com/wp-content/uploads/2009/11/Apple-Walnut-Stuffing-close-347x260.jpg","butter","yellow onion","celery","apples","dried sage","water","stuffing mix","walnuts"
"Maple Brown Butter Pumpkin Pie","https://www.budgetbytes.com/maple-brown-butter-pumpkin-pie/","https://www.budgetbytes.com/wp-content/uploads/2019/10/Maple-Brown-Butter-Pumpkin-Pie-serve-347x260.jpg","butter","maple syrup","brown sugar","cinnamon","ground ginger","ground cloves","salt","eggs","pumpkin purée","evaporated milk","unbaked 9-inch deep dish pie crust"
"Herb Roasted Pork Tenderloin","https://www.budgetbytes.com/herb-roasted-pork-loin/","https://www.budgetbytes.com/wp-content/uploads/2012/02/Herb-Roasted-Pork-Tenderloin-sliced-347x260.jpg","garlic ","dried basil ","dried thyme ","dried rosemary","freshly cracked black pepper ","salt ","olive oil ","pork tenderloin "
"Balsamic Roasted Vegetables","https://www.budgetbytes.com/balsamic-roasted-vegetables/","https://www.budgetbytes.com/wp-content/uploads/2019/10/Balsamic-Roasted-Vegetables-close-347x260.jpg","olive oil","balsamic vinegar","brown sugar","soy sauce","Dijon mustard","dried basil","freshly cracked black pepper"
"Cranberry Cream Cheese Dip","https://www.budgetbytes.com/cranberry-cream-cheese-dip/","https://www.budgetbytes.com/wp-content/uploads/2019/10/Cranberry-Cream-Cheese-Dip-overhead-2-347x260.jpg","fresh cranberries","sugar","water","jalapeño (optional)","salt","cream cheese","green onions, sliced","crackers (for serving)","apple (for serving)"
"Balsamic Chicken and Mushrooms","https://www.budgetbytes.com/balsamic-chicken-and-mushrooms/","https://www.budgetbytes.com/wp-content/uploads/2019/10/Balsamic-Chicken-and-Mushrooms-plate-347x260.jpg","balsamic vinegar","soy sauce","brown sugar","garlic, minced","dried thyme","boneless, skinless chicken thighs (about 1.25 lbs. total)","salt and pepper","olive oil","mushrooms","butter"
"Classic Baked Ziti","https://www.budgetbytes.com/classic-baked-ziti/","https://www.budgetbytes.com/wp-content/uploads/2019/10/Baked-Ziti-mixed-scoop-347x260.jpg","Italian sausage (sweet, mild, or hot)","yellow onion","tomato paste","crushed tomatoes","Italian seasoning blend","water","ziti","salt (for pasta water)","ricotta","Italian cheese blend*","freshly cracked black pepper","shredded mozzarella","chopped parsley (optional, for garnish)"
"Secret Ingredient Tomato Soup","https://www.budgetbytes.com/secret-ingredient-tomato-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/10/Secret-Ingredient-Tomato-Soup-Multiple-Bowls-347x260.jpg","olive oil","garlic, minced","dried oregano","dried basil","dried thyme","dried rosemary","crushed red pepper","freshly cracked black pepper","tomato paste","brown sugar","crushed tomatoes","vegetable broth","cannellini beans","nutritional yeast","salt, or to taste"
"Sweet Potato Biscuits","https://www.budgetbytes.com/sweet-potato-biscuits/","https://www.budgetbytes.com/wp-content/uploads/2011/11/Sweet-Potato-Biscuits-eat-347x260.jpg","sweet potato","all-purpose flour, divided","baking powder","sugar","salt","ground nutmeg","butter, frozen (1 stick)","whole milk"
"One Pot Creamy Pesto Chicken Pasta","https://www.budgetbytes.com/one-pot-creamy-pesto-chicken-pasta/","https://www.budgetbytes.com/wp-content/uploads/2019/10/Creamy-Pesto-Chicken-Pasta-close-skillet-347x260.jpg","boneless, skinless chicken breast","butter","garlic","penne pasta","chicken broth","milk","cream cheese*","basil pesto","grated Parmesan","freshly cracked pepper","crushed red pepper"
"Easy Pumpkin Soup","https://www.budgetbytes.com/easy-pumpkin-soup/","https://www.budgetbytes.com/wp-content/uploads/2009/10/Easy-Pumpking-Soup-trio-347x260.jpg","butter ","yellow onion","pumpkin puree ","chicken broth","chili powder ","nutmeg ","smoked paprika","cayenne powder ","freshly cracked pepper","salt to taste"
"Small Batch Crunchy Candied Walnuts","https://www.budgetbytes.com/small-batch-crunchy-candied-walnuts/","https://www.budgetbytes.com/wp-content/uploads/2019/09/Candied-Walnuts-above-347x260.jpg","butter","brown sugar","salt","walnuts"
"Easy Homemade Balsamic Vinaigrette","https://www.budgetbytes.com/easy-homemade-balsamic-vinaigrette/","https://www.budgetbytes.com/wp-content/uploads/2019/09/Easy-Homemade-Balsamic-Vinaigrette-spoon-front-347x260.jpg","olive oil","balsamic vinegar","mayonnaise","Dijon mustard","garlic, minced","dried basil","salt","freshly cracked pepper"
"Autumn Kale and Apple Salad","https://www.budgetbytes.com/autumn-kale-and-apple-salad/","https://www.budgetbytes.com/wp-content/uploads/2019/09/Autumn-Kale-and-Apple-Salad-347x260.jpg","olive oil","balsamic vinegar","mayonnaise","Dijon mustard","garlic, minced","dried basil","salt","freshly cracked pepper"
"Vegan Creamy Mushroom Ramen","https://www.budgetbytes.com/vegan-creamy-mushroom-ramen/","https://www.budgetbytes.com/wp-content/uploads/2019/09/Vegan-Creamy-Mushroom-Ramen-close-347x260.jpg","cooking oil","baby bella mushrooms","vegetable broth","fresh spinach","ramen noodles (discard seasoning)","coconut milk (canned)"
"Roasted Asparagus and Tomatoes","https://www.budgetbytes.com/roasted-asparagus-and-tomatoes/","https://www.budgetbytes.com/wp-content/uploads/2019/09/Asparagus-Tomatoes-Garlic-Oil-347x260.jpg","grape tomatoes","asparagus","olive oil","garlic, minced","salt and pepper to taste"
"Garlic Butter Baked Cod","https://www.budgetbytes.com/garlic-butter-baked-cod/","https://www.budgetbytes.com/wp-content/uploads/2019/09/Garlic-Butter-Baked-Cod-close-eat-347x260.jpg","butter (room temperature)","olive oil","garlic, minced","paprika","salt","finely chopped parsley","cod (two 4 oz. filets)","fresh lemon"
"Easy Baked Homemade Croutons","https://www.budgetbytes.com/easy-baked-homemade-croutons/","https://www.budgetbytes.com/wp-content/uploads/2019/09/Homemade-Croutons-Salad-front-347x260.jpg","sturdy bread","olive oil","Italian seasoning blend","garlic powder","salt"
"Pesto Grilled Cheese with Sun Dried Tomatoes","https://www.budgetbytes.com/pesto-grilled-cheese-with-sun-dried-tomatoes/","https://www.budgetbytes.com/wp-content/uploads/2019/09/Pesto-Grilled-Cheese-pull-347x260.jpg","hearty bread","butter","pesto","sun dried tomato pieces","mozzarella"
"Homemade Kale Pesto","https://www.budgetbytes.com/homemade-kale-pesto/","https://www.budgetbytes.com/wp-content/uploads/2019/09/Kale-Pesto-front-347x260.jpg","torn kale leaves","olive oil","fresh lemon","garlic","walnuts","Parmesan","salt","Freshly cracked pepper"
"Easy Rosemary Garlic White Bean Soup","https://www.budgetbytes.com/easy-rosemary-garlic-white-bean-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/09/Rosemary-Garlic-White-Bean-Soup-three-bowls-347x260.jpg","olive oil","garlic","cannellini beans","vegetable (or chicken) broth","dried rosemary","dried thyme","crushed red pepper","freshly cracked pepper to taste"
"Maple Sage Breakfast Sausage","https://www.budgetbytes.com/maple-sage-breakfast-sausage/","https://www.budgetbytes.com/wp-content/uploads/2019/09/Maple-Sage-Breakfast-Sausage-Close-Up-347x260.jpg","ground turkey","dried sage","dried thyme","garlic powder","smoked paprika","maple syrup","salt","freshly cracked pepper","cooking oil"
"Blueberry Lemon Curd Shortcakes","https://www.budgetbytes.com/blueberry-lemon-curd-shortcakes/","https://www.budgetbytes.com/wp-content/uploads/2019/09/Blueberry-Lemon-Curd-Shortcakes-close-347x260.jpg","all-purpose flour","salt","sugar","baking powder","heavy whipping cream","blueberries"
"Roasted Vegetable Salad Meal Prep","https://www.budgetbytes.com/roasted-vegetable-salad-meal-prep/","https://www.budgetbytes.com/wp-content/uploads/2019/08/Roasted-Vegetable-Salad-Meal-Prep-H-347x260.jpg","garlic powder","onion powder","dried dill","dried parsley","salt","Freshly cracked pepper","tahini","warm water","lemon juice"
"Chicken and Lime Soup","https://www.budgetbytes.com/chicken-lime-soup/","https://www.budgetbytes.com/wp-content/uploads/2012/10/Chicken-and-Lime-Soup-above-347x260.jpg","yellow onion","ribs celery (about 1/4 bunch)","jalapenño ","garlic ","olive oil ","boneless, skinless chicken breast (about 3/4 lb.)","chicken broth* ","diced tomatoes with green chiles (Rotel)","oregano","cumin ","lime ","bunch cilantro ","avocado "
"Crispy Potatoes with Lemon Dill Tahini Dressing","https://www.budgetbytes.com/crispy-potatoes-with-lemon-dill-tahini-dressing/","https://www.budgetbytes.com/wp-content/uploads/2019/08/Crispy-Potatoes-with-Lemon-Dill-Tahini-Dressing-close-347x260.jpg","baby potatoes*","salt","cooking oil"
"Honey Mustard Broccoli Salad","https://www.budgetbytes.com/honey-mustard-broccoli-salad/","https://www.budgetbytes.com/wp-content/uploads/2019/08/Honey-Mustard-Broccoli-Salad-front-347x260.jpg","mayonnaise","Dijon mustard","yellow mustard","honey","apple cider vinegar","garlic powder","paprika","salt","freshly cracked pepper"
"King Ranch Chicken Casserole","https://www.budgetbytes.com/king-ranch-chicken-casserole/","https://www.budgetbytes.com/wp-content/uploads/2019/08/King-Ranch-Chicen-Casserole-plated-347x260.jpg","boneless, skinless chicken breast","chili powder","cooking oil","butter","yellow onion","green bell pepper","all-purpose flour","chicken broth","diced tomatoes with green chiles (Rotel)","sour cream","cheddar cheese, shredded","tortilla chip strips*","green onions"
"Super Crunchy Oil Free Granola","https://www.budgetbytes.com/super-crunchy-oil-free-granola/","https://www.budgetbytes.com/wp-content/uploads/2019/08/Super-Crunchy-Oil-Free-Granola-wooden-spoon-347x260.jpg","aquafaba ","cream of tartar","brown sugar","vanilla extract","rolled oats","oat bran","ground flaxseed","slivered almonds","pepitas","cinnamon","turmeric","ground ginger","ground cloves"
"Simple Sweet and Sour Sauce","https://www.budgetbytes.com/simple-sweet-and-sour-sauce/","https://www.budgetbytes.com/wp-content/uploads/2019/08/Simple-Sweet-and-Sour-Sauce-Dumping-Dip-347x260.jpg","brown sugar","rice vinegar","ketchup","soy sauce","water","cornstarch"
"Sweet and Sour Pork Chops with Vegetables","https://www.budgetbytes.com/sweet-and-sour-pork-chops-with-vegetables/","https://www.budgetbytes.com/wp-content/uploads/2019/08/Sweet-and-Sour-Pork-Chops-with-Vegetables-close-347x260.jpg","brown sugar","rice vinegar","ketchup","water","soy sauce","cornstarch","boneless, center cut pork chops, 1-inch thick (about 1.5 lbs. total)","salt and pepper","cooking oil","frozen stir fry vegetables"
"Lemon Dill Salmon and Kale Salad","https://www.budgetbytes.com/lemon-dill-salmon-and-kale-salad/","https://www.budgetbytes.com/wp-content/uploads/2019/08/Lemon-Dill-Salmon-and-Kale-Salad-eat-close-347x260.jpg","garlic powder","onion powder","dried dill","dried parsley","salt","freshly cracked pepper","tahini","warm water","lemon juice"
"Lemon Dill Tahini Dressing","https://www.budgetbytes.com/lemon-dill-tahini-dressing/","https://www.budgetbytes.com/wp-content/uploads/2019/08/Lemon-Dill-Tahini-Dressing-drip-347x260.jpg","garlic powder","onion powder","dried dill","dried parsley","salt","freshly cracked pepper","tahini","warm water","lemon juice"
"No Churn Balsamic Peach Ice Cream","https://www.budgetbytes.com/no-churn-balsamic-peach-ice-cream/","https://www.budgetbytes.com/wp-content/uploads/2019/08/No-Churn-Balsamic-Peach-Ice-Cream-one-bowl-347x260.jpg","butter","chopped peaches (about 2 peaches)","balsamic vinegar","brown sugar","sweetened condensed milk","vanilla extract","salt","heavy whipping cream"
"Baked Pizza Chicken","https://www.budgetbytes.com/baked-pizza-chicken/","https://www.budgetbytes.com/wp-content/uploads/2019/07/Baked-Pizza-Chicken-bite-347x260.jpg","Italian seasoning blend","garlic powder","salt","olive oil","boneless, skinless chicken breasts (about 2/3 lb. each)","pizza sauce","fresh mozzarella","pepperoni"
"Sweet and Spicy Tuna Salad","https://www.budgetbytes.com/sweet-and-spicy-tuna-salad/","https://www.budgetbytes.com/wp-content/uploads/2019/07/Sweet-and-Spicy-Tuna-Salad-platter-347x260.jpg","tuna*","carrot","green onions","brown sugar","olive oil","apple cider vinegar","cayenne pepper","garlic powder","smoked paprika","salt","freshly cracked pepper"
"Lemony Artichoke and Quinoa Salad","https://www.budgetbytes.com/lemony-artichoke-and-quinoa-salad/","https://www.budgetbytes.com/wp-content/uploads/2019/07/Add-Lemon-Garlic-Dressing-347x260.jpg","quinoa","fresh lemon","olive oil","garlic, minced","salt","freshly cracked pepper","quartered artichoke hearts*","red bell pepper","chopped fresh parsley","chickpeas"
